mDw_1,mDw_2,mUp_1,mUp_2,mPing_1,mPing_2
0.0802777777777778,1.40193146276474,0.0802777777777778,0.583256975078583,0.0802777777777778,152.659
0.155444444444444,2.07409243285751,0.155444444444444,0.452691914352417,0.155444444444444,671.8562
0.265833333333333,0.94955448384285,0.265833333333333,0.556587351179123,0.265833333333333,308.2555
0.345277777777778,2.59929083531952,0.345277777777778,0.461880228061676,0.345277777777778,439.9484
0.452361111111111,1.25090073451996,0.452361111111111,0.505714198160171,0.452361111111111,213.3045
0.508055555555556,4.43085364770889,0.508055555555556,0.475837287187576,0.508055555555556,151.876
0.556203703703704,2.13160506064097,0.556203703703704,0.456812736797333,0.556203703703704,1031.74333333333
0.664305555555556,3.61940448117256,0.664305555555556,0.592356606531143,0.664305555555556,185.9345
0.7525,2.10816357028961,0.7525,0.418957524569829,0.7525,995.554333333333
0.836388888888889,1.87094079748789,0.836388888888889,0.641784263833364,0.836388888888889,599.563
0.906481481481482,4.63509280872345,0.906481481481482,0.512384784634908,0.906481481481482,127.433666666667
1.00333333333333,1.64253737788836,1.00333333333333,0.426938803297679,1.00333333333333,962.072
1.08020833333333,4.62797817468643,1.08020833333333,0.658817284107208,1.08020833333333,133.1335
1.18666666666667,4.06404894542694,1.18666666666667,0.582872083806992,1.18666666666667,135.788
1.25483333333333,3.49008626623154,1.25483333333333,0.454767197761536,1.25483333333333,448.7216
1.3625,4.69012247085571,1.3625,0.721130935096741,1.3625,132.803
1.415,2.12363720471621,1.415,0.427748361597061,1.415,515.0595
1.46625,4.67065375185013,1.46625,0.641996711921692,1.46625,129.956
1.56916666666667,4.52901276397705,1.56916666666667,0.567177319208781,1.56916666666667,201.720333333333
1.63930555555556,3.5400798715353,1.63930555555556,0.484147975158691,1.63930555555556,426.15425
1.7525,4.03037412325541,1.7525,0.601461989529928,1.7525,129.679666666667
1.82930555555556,3.64796106438637,1.82930555555556,0.454189817285538,1.82930555555556,393.962
1.92013888888889,4.6993810043335,1.92013888888889,0.671811645078659,1.92013888888889,123.144
1.99819444444444,3.48518384242058,1.99819444444444,0.622474355792999,1.99819444444444,129.74525
2.08592592592593,3.12245857833227,2.08592592592593,0.471859212462107,2.08592592592593,505.185666666667
2.18138888888889,4.55814705228806,2.18138888888889,0.57325408654213,2.18138888888889,159.52625
2.26083333333333,3.48681049060822,2.26083333333333,0.470616483402252,2.26083333333333,694.666
2.34305555555556,4.64828978085518,2.34305555555556,0.498590186834335,2.34305555555556,172.43825
2.42888888888889,3.20860348520279,2.42888888888889,0.43444583269755,2.42888888888889,125.266666666667
2.50111111111111,4.39650981140137,2.50111111111111,0.522144297838211,2.50111111111111,305.8475
2.55814814814815,4.04551324590047,2.55814814814815,0.611440589841207,2.55814814814815,136.137333333333
2.67715277777778,3.21372827157974,2.67715277777778,0.496594966506958,2.67715277777778,196.536
2.73569444444444,4.6704977221489,2.73569444444444,0.478576945877075,2.73569444444444,122.171
2.82222222222222,4.65926977062225,2.82222222222222,0.628881651782989,2.82222222222222,123.984
2.90347222222222,3.54262967982292,2.90347222222222,0.534197873139381,2.90347222222222,406.062
3.00472222222222,4.6587329158783,3.00472222222222,0.630604973506927,3.00472222222222,129.509
3.09152777777778,3.60987411448956,3.09152777777778,0.488374270296097,3.09152777777778,168.02525
3.18638888888889,4.64960832500458,3.18638888888889,0.732136982059479,3.18638888888889,119.693
3.26430555555556,4.68603167724609,3.26430555555556,0.538692003011704,3.26430555555556,164.377
3.32472222222222,3.07944658216794,3.32472222222222,0.414424158881505,3.32472222222222,1063.346
3.4275,4.71659973049164,3.4275,0.597049527263641,3.4275,124.876
3.49842592592593,2.64411210684776,3.49842592592593,0.322619993305206,3.49842592592593,1047.07833333333
3.58041666666667,4.62804387950897,3.58041666666667,0.61603145813942,3.58041666666667,154.8085
3.66833333333333,3.75486666250229,3.66833333333333,0.364524764871597,3.66833333333333,706.6365
3.76305555555556,4.70260559463501,3.76305555555556,0.590185526704788,3.76305555555556,120.3295
3.82125,2.06471829209328,3.82125,0.347016280603409,3.82125,697.9965
3.89986111111111,4.44451702070236,3.89986111111111,0.549816783380508,3.89986111111111,586.0245
3.99814814814815,3.15976298224131,3.99814814814815,0.557385514036814,3.99814814814815,127.706333333333
4.08708333333333,4.34176882886887,4.08708333333333,0.501708280324936,4.08708333333333,340.0705
4.17680555555556,4.64176274204254,4.17680555555556,0.673869411325455,4.17680555555556,145.027
4.24583333333333,2.4464878408432,4.24583333333333,0.397040653467178,4.24583333333333,690.4415
4.33888888888889,4.69932654857636,4.33888888888889,0.521403099632263,4.33888888888889,126.043
4.38601851851852,3.64100498962402,4.38601851851852,0.447756094106038,4.38601851851852,202.217666666667
4.49277777777778,4.59051746177673,4.49277777777778,0.636056635856628,4.49277777777778,133.7705
4.57324074074074,3.5954053846995,4.57324074074074,0.551834210904439,4.57324074074074,460.733666666667
4.67597222222222,4.64845955657959,4.67597222222222,0.558569195556641,4.67597222222222,127.845
4.7625,3.95500482463837,4.7625,0.438849835999807,4.7625,257.573333333333
4.83083333333333,4.65994163608551,4.83083333333333,0.640681953430176,4.83083333333333,131.525
4.92314814814815,4.25154939524333,4.92314814814815,0.502201916917165,4.92314814814815,136.102666666667
4.99319444444444,4.36716029834747,4.99319444444444,0.564438813972473,4.99319444444444,255.755
5.09027777777778,4.69501275873184,5.09027777777778,0.57217307806015,5.09027777777778,155.126
5.16583333333333,3.42651920000712,5.16583333333333,0.388971508216858,5.16583333333333,180.425666666667
5.25166666666667,4.75360012245178,5.25166666666667,0.697291667461395,5.25166666666667,126.542
