DwDt,ACorDw,UpDt,ACorUp,PingDt,ACorPing
-23.9945833333333,0.00263722386064387,-23.9945833333333,0.00483473104438534,-23.9945833333333,0.000882166721545991
-23.9079602888086,0.00513520747062846,-23.9079602888086,0.00799512174401231,-23.9079602888086,0.00452764054121403
-23.821337244284,0.00580612264730266,-23.821337244284,0.0126330221207648,-23.821337244284,0.00532954260077773
-23.7347141997593,0.00969246091061866,-23.7347141997593,0.0151186143314029,-23.7347141997593,0.00811047118341833
-23.6480911552346,0.0107790447606654,-23.6480911552346,0.0193593840315382,-23.6480911552346,0.00992950452815498
-23.56146811071,0.0201459296276447,-23.56146811071,0.0219420968898205,-23.56146811071,0.00954914220666324
-23.4748450661853,0.0153812980825362,-23.4748450661853,0.0252754427880919,-23.4748450661853,0.0210158367858849
-23.3882220216606,0.0267073217604078,-23.3882220216606,0.0292788298348782,-23.3882220216606,0.0192247056797583
-23.3015989771359,0.0222085808443204,-23.3015989771359,0.0322657925106186,-23.3015989771359,0.0250480578864936
-23.2149759326113,0.0294718526918431,-23.2149759326113,0.0378743717507707,-23.2149759326113,0.0285848642506866
-23.1283528880866,0.0322108248597762,-23.1283528880866,0.0398913635995426,-23.1283528880866,0.0227456952920989
-23.0417298435619,0.031263036567015,-23.0417298435619,0.0439595111316971,-23.0417298435619,0.0378009203458858
-22.9551067990373,0.0429163631514827,-22.9551067990373,0.0472696279384125,-22.9551067990373,0.0329479371776054
-22.8684837545126,0.0365199477420997,-22.8684837545126,0.0520501014675621,-22.8684837545126,0.039722825994469
-22.7818607099879,0.0533365549956764,-22.7818607099879,0.0545392957511866,-22.7818607099879,0.0432872562688887
-22.6952376654633,0.0452678124341027,-22.6952376654633,0.0588714776719252,-22.6952376654633,0.035981530873613
-22.6086146209386,0.0542592741890945,-22.6086146209386,0.0615881503872327,-22.6086146209386,0.042148553898622
-22.5219915764139,0.059855193529345,-22.5219915764139,0.0665722702250377,-22.5219915764139,0.0408742597300376
-22.4353685318893,0.05920811836492,-22.4353685318893,0.0699433269666705,-22.4353685318893,0.0439910242587207
-22.3487454873646,0.0664027792775772,-22.3487454873646,0.0733975220902474,-22.3487454873646,0.0498666817798299
-22.2621224428399,0.0642197319151836,-22.2621224428399,0.0768642704969676,-22.2621224428399,0.0511332272445786
-22.1754993983152,0.0708768122904465,-22.1754993983152,0.0810027046446968,-22.1754993983152,0.0523852129391846
-22.0888763537906,0.0769132198645343,-22.0888763537906,0.084436262846913,-22.0888763537906,0.0495266205715346
-22.0022533092659,0.071279852134131,-22.0022533092659,0.0881028541322939,-22.0022533092659,0.0523801943305462
-21.9156302647412,0.0795121485697771,-21.9156302647412,0.090690969781145,-21.9156302647412,0.0685272359641956
-21.8290072202166,0.0767308427559001,-21.8290072202166,0.0928500838256072,-21.8290072202166,0.0598371810502955
-21.7423841756919,0.0821327323133964,-21.7423841756919,0.097830510441014,-21.7423841756919,0.0730698243134147
-21.6557611311672,0.0838609621771892,-21.6557611311672,0.0987817701097439,-21.6557611311672,0.0748220360083333
-21.5691380866426,0.0814872178268535,-21.5691380866426,0.102478680105903,-21.5691380866426,0.0599613295854275
-21.4825150421179,0.0920824222719289,-21.4825150421179,0.106362819680751,-21.4825150421179,0.0826713547478482
-21.3958919975932,0.0867855216789475,-21.3958919975932,0.110187634161702,-21.3958919975932,0.0738153299295341
-21.3092689530686,0.0907356586171563,-21.3092689530686,0.11312209898908,-21.3092689530686,0.074885271315599
-21.2226459085439,0.0940779452973541,-21.2226459085439,0.115068714709185,-21.2226459085439,0.0933878631091553
-21.1360228640192,0.0943634352525803,-21.1360228640192,0.119548040706653,-21.1360228640192,0.0726879805664422
-21.0493998194946,0.100007836920561,-21.0493998194946,0.123375189421506,-21.0493998194946,0.0834068242293513
-20.9627767749699,0.0956032086862979,-20.9627767749699,0.126106475388,-20.9627767749699,0.0816580948221103
-20.8761537304452,0.102135750524236,-20.8761537304452,0.129985569925452,-20.8761537304452,0.0768252671705194
-20.7895306859205,0.103672441543932,-20.7895306859205,0.135213356777778,-20.7895306859205,0.0926327086976449
-20.7029076413959,0.103269195886002,-20.7029076413959,0.137996910775133,-20.7029076413959,0.0831536320805409
-20.6162845968712,0.106944428600644,-20.6162845968712,0.142520527421006,-20.6162845968712,0.0895683844808449
-20.5296615523465,0.108503664225546,-20.5296615523465,0.145029437883594,-20.5296615523465,0.0894082430403759
-20.4430385078219,0.10654443912572,-20.4430385078219,0.150129382447145,-20.4430385078219,0.0910440434761582
-20.3564154632972,0.113468178771665,-20.3564154632972,0.153857064168665,-20.3564154632972,0.10010333956038
-20.2697924187725,0.108125565260485,-20.2697924187725,0.155763810843647,-20.2697924187725,0.102756373767744
-20.1831693742479,0.119593972185955,-20.1831693742479,0.162261092960149,-20.1831693742479,0.11689775414291
