CodigoEstacion;NombreEstacion;Latitud;Longitud;Altitud;Categoria;Entidad;AreaOperativa;Departamento;Municipio;FechaInstalacion;FechaSuspension;IdParametro;Etiqueta;DescripcionSerie;Frecuencia;Fecha;Valor;Grado;Calificador;NivelAprobacion
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 3:00;0;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 4:00;0;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 5:00;0;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 6:00;0;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 7:00;24.5;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 8:00;158.4;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 9:00;353;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 10:00;543.3;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 11:00;682.6;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 12:00;759.2;50;;900
29045120;FLORES LAS [29045120];11.04;-7.482.083.333;8;Climática Principal;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 02 - Atlántico-Bolivar-Sucre;Atlantico;Barranquilla;15/04/1971 0:00;;RAD SOLAR;RSGVAL_AUT_60;Radiación solar global horaria VALIDADA;Horaria;3/01/2010 13:00;770.9;50;;900
