Student;PriorCourses;ControlPre;ValuePre;ControlPost;ValuePost;ControlGain;ValueGain;LearningPre;LearningPost;LearningGain
S78;Two;2.75;1;3.25;1.75;0.5;0.75;0.25;0.75;0.5
S79;Two;2.5;2.75;3;2.75;0.5;0;0.5;1;0.5
S80;Two;4.5;5;4.5;4.75;0;-0.25;0.25;0.8333333;0.58333333
S81;Two;3.25;3.75;2.75;4.25;-0.5;0.5;0.125;0.75;0.625
S82;Two;1.67;1.5;3;1.5;1.33;0;0;0.75;0.75
S83;Zero;1.5;4;3;4.25;1.5;0.25;0.4375;0.375;-0.0625
S84;Zero;1;3;3;3.25;2;0.25;0.5;0.5;0
S85;Zero;4;4;3.75;3.75;-0.25;-0.25;0.375;0.375;0
S86;Zero;1.25;1;1.25;1;0;0;0.3125;0.375;0.0625
S87;Zero;1.5;2.5;1.75;4;0.25;1.5;0.25;0.3333333;0.08333333
S88;Zero;1;2.5;2;3.25;1;0.75;0.5;0.625;0.125
S89;Zero;1.75;3;2.25;4.5;0.5;1.5;0.375;0.625;0.25
S90;Zero;2;2.75;2.75;3.75;0.75;1;0.45;0.8;0.35
