GRUPO;1;2;3;4;5;6;7;8;9;10;T;Nº sonidos;Autostop;T;Npalabras simples;Autostop;T;Npalabras sin sent;Autostop;T;Npalabras lectura;Primero;segundo;tercero;cuarto;quinto;uno;dos;tres;cuatro;OBSERVACIONES;a. Identificación del sonido inicial;A. Conocimiento sonido de las letras sin tiempo;A. Lectura de palabras simples;A. Decodificación de palabras sin sentidos;A. Lectura de un pasaje;A. Lectura de un pasaje preguntas;A. Comprensión oral;B. Identificación del sonido inicial;B. Identificación del sonido inicial;B. Conocimiento sonido de las letras sin tiempo;B. Lectura de palabras simples;B. Decodificación de palabras sin sentido;B. Lectura de un pasaje;B. Lectura de un pasaje (preguntas);B. Lectura de un pasaje (preguntas);B. Comprensión oral;B. Comprensión oral;c. Identificación del sonido inicial;c. Conocimiento sonido de las letras sin tiempo;c. Lectura de palabras simples;c. Decodificación de palabras sin sentidos;c. Lectura de un pasaje;c. Lectura de un pasaje preguntas;c. Comprensión oral;GLOBAL;ESCALA GLOBAL
102;I;I;I;I;I;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;I;C;I;C;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;I;I;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;I;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;C;C;I;I;I;I;I;I;I;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;2;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
102;I;I;I;I;I;I;I;I;I;I;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
102;I;I;I;I;I;I;I;I;I;I;20;9;SI;20;9;SI;20;0;SI;20;0;N;N;N;N;N;I;I;I;C;;NO;SI;SI;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;I;C;I;C;I;I;I;I;C;I;20;10;SI;20;0;SI;20;10;SI;20;0;N;N;N;N;N;C;C;I;C;;NO;SI;NO;SI;NO;NO;NO;3;REGULAR;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;1;0;0;0;0;0;2;3;BAJO
102;I;I;I;I;I;I;I;I;I;I;20;8;SI;20;0;SI;20;8;SI;20;0;N;N;N;N;N;C;I;I;I;;NO;SI;NO;SI;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;10;0;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;N;N;N;N;;NO;NO;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;5;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;I;N;N;N;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;0;BAJO;0;0;0;0;0;0;0;0;BAJO
101;N;N;N;N;N;N;I;N;N;N;20;5;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;5;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;C;C;C;;NO;SI;NO;NO;NO;NO;SI;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;4;NORMAL;0;0;0;0;0;0;2;2;BAJO
101;N;N;N;N;N;N;N;N;N;N;10;5;SI;10;0;SI;10;0;SI;10;0;N;N;N;N;N;C;I;N;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;4;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;I;N;I;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;12;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;C;N;N;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;18;10;SI;18;0;SI;18;0;SI;18;0;N;N;N;N;N;C;N;I;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
101;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;0;SI;20;0;N;N;N;N;N;I;C;C;C;;NO;SI;NO;NO;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;3;NORMAL;0;0;0;0;0;0;2;2;BAJO
102;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;10;SI;20;0;SI;20;10;N;N;N;N;N;C;I;C;I;;NO;SI;SI;NO;SI;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;2;REGULAR;0;0;0;0;0;0;1;1;BAJO
102;N;N;N;N;N;N;N;N;N;N;20;10;SI;20;0;SI;20;10;SI;20;0;N;N;N;N;N;C;I;I;I;;NO;SI;NO;SI;NO;NO;NO;0;BAJO;BAJO;BAJO;BAJO;BAJO;0;BAJO;1;REGULAR;0;0;0;0;0;0;1;1;BAJO
